timestamp_utc,device_id,device_type,building,floor,room,ip_address,mac_address,firmware_version,protocol,port,event_type,bytes_in,bytes_out,packets,cpu_load_pct,memory_usage_pct,battery_level_pct,temperature_c,power_state,signed_firmware,firmware_integrity,identity_mismatch,anomaly_score,ground_truth_compromise,compromise_type
2026-01-31T03:56:35Z,DEV084,CCTV,B,1,R05,10.1.1.187,98:fa:4c:e4:f7:b0,v4.6,HTTP,80,video_stream,31514,140333,939,61.74,61.62,,,on,True,ok,False,0.3183,0,none
2026-02-02T14:19:41Z,DEV010,HVAC,B,5,R07,10.1.5.231,cc:b9:70:46:fc:2e,v1.3,MQTT,1883,telemetry,4776,11142,92,42.28,37.57,,21.28,on,True,ok,False,0.1887,0,none
2026-01-29T08:07:06Z,DEV015,HVAC,A,1,R12,10.0.1.126,23:40:41:f3:54:87,v1.5,Modbus/TCP,502,status_update,6086,12167,114,33.76,53.88,,23.37,on,True,ok,False,0.3517,0,none
2026-02-02T13:34:26Z,DEV010,HVAC,B,5,R07,10.1.5.231,cc:b9:70:46:fc:2e,v1.3,BACnet/IP,47808,status_update,6712,9279,109,32.19,37.75,,21.04,on,True,ok,False,0.3911,0,none
2026-01-31T12:26:17Z,DEV073,CCTV,A,3,R12,10.0.3.74,e8:24:77:87:65:d9,v4.5,RTSP,554,status_update,25974,143120,933,53.01,54.91,,,on,True,ok,False,0.3855,0,none
2026-01-27T19:06:43Z,DEV060,env_sensor,B,4,R07,10.1.4.213,89:a5:7d:2c:8e:e6,v3.0,CoAP,5683,status_update,603,335,34,20.9,21.72,71.29,21.15,on,True,ok,False,0.1469,0,none
2026-02-04T17:52:29Z,DEV028,badge_scanner,A,1,R09,10.0.1.56,87:43:b2:23:7d:bd,v2.1,HTTPS,443,auth_attempt,1231,1667,43,25.29,18.53,,,on,False,suspect,False,0.9357,1,unauthorized_firmware
2026-01-24T16:50:36Z,DEV098,smart_lighting,B,5,R09,10.1.5.235,8b:54:83:f6:97:ad,v5.1,MQTT,1883,telemetry,608,1133,18,15.18,20.99,87.24,,on,True,ok,False,0.0139,0,none
2026-02-04T18:55:14Z,DEV027,badge_scanner,B,2,R05,10.1.2.103,43:99:ea:a1:25:04,v2.1,TCP,1812,auth_attempt,957,1753,51,19.69,44.73,,,on,True,ok,False,0.1617,0,none
2026-01-24T04:08:34Z,DEV016,HVAC,B,2,R15,10.1.2.140,66:9f:cc:bf:e0:e7,v1.3,MQTT,1883,status_update,5001,12633,92,36.49,35.61,,24.27,on,True,ok,False,0.1981,0,none
2026-01-27T10:50:50Z,DEV013,HVAC,A,3,R09,10.0.3.197,5b:36:98:65:4e:bf,v1.3,Modbus/TCP,502,control_command,6234,7199,78,32.78,48.57,,23.5,on,False,suspect,False,0.2957,0,none
2026-01-23T04:47:04Z,DEV083,CCTV,A,4,R09,10.0.4.39,c4:61:45:23:8d:d4,v4.6,HTTP,80,status_update,14314,118262,963,61.34,59.47,,,on,True,ok,False,0.1982,0,none
2026-01-30T01:14:39Z,DEV058,env_sensor,B,5,R13,10.1.5.32,15:b1:db:bd:23:ae,v3.0,TCP,8080,status_update,922,525,10,18.98,32.34,87.75,22.22,on,True,ok,True,1.0,1,spoofed_identity
2026-01-28T16:43:06Z,DEV001,HVAC,A,1,R12,10.0.1.72,7d:72:47:34:2c:d8,v1.3,MQTT,1883,firmware_check,5265,9199,167,19.77,38.29,,20.57,on,True,ok,False,0.4184,0,none
2026-01-23T07:08:17Z,DEV023,badge_scanner,A,4,R15,10.0.4.17,54:c2:01:c7:87:e8,v2.1,TCP,1812,status_update,1305,2033,30,19.46,39.47,,,on,True,ok,False,0.1452,0,none
2026-01-31T05:27:06Z,DEV099,smart_lighting,B,1,R03,10.1.1.195,73:cb:bb:2e:ca:07,v5.2,MQTT,1883,control_command,443,1269,36,14.87,30.77,88.95,,off,True,ok,False,0.2303,0,none
2026-01-29T15:56:14Z,DEV016,HVAC,B,2,R15,10.1.2.140,66:9f:cc:bf:e0:e7,v1.3,MQTT,1883,control_command,4417,11876,200,44.63,48.69,,20.23,on,True,ok,False,0.169,0,none
2026-01-27T18:27:20Z,DEV093,smart_lighting,A,1,R08,10.0.1.243,b0:99:d9:80:e9:9a,v5.1,HTTP,80,status_update,837,914,31,13.86,29.14,79.27,,on,True,ok,False,0.4038,0,none
2026-01-23T09:53:05Z,DEV040,badge_scanner,B,1,R11,10.1.1.237,a9:a0:3f:99:9e:d1,v2.1,HTTPS,443,status_update,2288,1545,35,20.2,23.84,,,on,True,ok,False,0.3807,0,none
2026-01-30T15:03:37Z,DEV084,CCTV,B,1,R05,10.1.1.187,98:fa:4c:e4:f7:b0,v4.6,RTSP,8554,status_update,21961,103686,817,65.47,56.23,,,on,True,ok,False,0.2443,0,none
2026-02-03T09:27:55Z,DEV071,CCTV,B,3,R10,10.1.3.160,1e:32:6a:6c:87:29,v4.5,RTSP,8554,video_stream,13816,99392,708,67.32,42.62,,,on,True,ok,False,0.2004,0,none
2026-01-31T11:32:13Z,DEV027,badge_scanner,B,2,R05,10.1.2.103,43:99:ea:a1:25:04,v2.1,HTTPS,443,status_update,1847,2103,50,18.01,31.68,,,on,True,ok,False,0.158,0,none
2026-01-27T05:07:48Z,DEV028,badge_scanner,A,1,R09,10.0.1.56,87:43:b2:23:7d:bd,v2.1,TCP,1812,auth_attempt,1150,1724,51,11.33,16.71,,,on,True,ok,False,0.1935,0,none
2026-02-04T07:39:39Z,DEV027,badge_scanner,B,2,R05,10.1.2.103,43:99:ea:a1:25:04,v2.1,HTTPS,443,status_update,2131,3423,33,13.43,28.65,,,on,False,suspect,False,0.2119,0,none
2026-01-27T09:00:11Z,DEV029,badge_scanner,A,4,R14,10.0.4.141,9a:04:99:35:44:87,v2.0,HTTPS,443,status_update,2513,2734,32,3.44,38.51,,,on,True,ok,False,0.0897,0,none
2026-01-23T07:47:33Z,DEV099,smart_lighting,B,1,R03,10.1.1.195,73:cb:bb:2e:ca:07,v5.2,MQTT,1883,status_update,805,570,30,21.34,19.52,91.67,,on,True,ok,False,0.2125,0,none
2026-02-02T15:20:49Z,DEV066,env_sensor,A,4,R05,10.0.4.187,90:33:63:97:74:b8,v3.0,TCP,8080,telemetry,418,677,25,11.63,23.55,71.0,21.31,on,True,ok,True,0.8037,1,spoofed_identity
2026-02-01T11:27:31Z,DEV071,CCTV,B,3,R10,10.1.3.160,1e:32:6a:6c:87:29,v4.5,RTSP,8554,status_update,26442,126297,1137,65.59,64.18,,,on,True,ok,False,0.0146,0,none
2026-01-27T05:27:07Z,DEV009,HVAC,B,2,R11,10.1.2.129,ca:ea:49:87:47:7e,v1.5,MQTT,1883,firmware_check,10265,4777,99,28.23,39.8,,24.75,on,True,ok,False,0.2301,0,none
2026-01-31T23:03:00Z,DEV060,env_sensor,B,4,R07,10.1.4.213,89:a5:7d:2c:8e:e6,v3.0,MQTT,1883,status_update,381,528,15,15.95,28.27,83.89,21.76,on,True,ok,False,0.206,0,none
2026-01-26T06:20:07Z,DEV096,smart_lighting,A,5,R05,10.0.5.175,46:31:14:9e:e1:11,v5.3,MQTT,1883,status_update,460,780,31,19.31,29.36,91.81,,on,True,ok,False,0.2084,0,none
2026-02-02T09:14:32Z,DEV098,smart_lighting,B,5,R09,10.1.5.235,8b:54:83:f6:97:ad,v5.1,HTTP,80,telemetry,996,598,14,13.77,33.12,92.65,,on,True,ok,False,0.4044,0,none
2026-01-29T12:58:04Z,DEV048,env_sensor,B,2,R05,10.1.2.87,a3:29:46:4d:76:c4,v3.2,CoAP,5683,status_update,698,556,8,10.89,34.22,78.31,23.27,on,True,ok,False,0.376,0,none
2026-01-23T01:25:01Z,DEV078,CCTV,B,1,R14,10.1.1.43,a8:d2:fd:93:cd:12,v4.6,HTTP,80,video_stream,25077,141289,1053,56.31,50.21,,,on,True,ok,False,0.2868,0,none
2026-01-27T17:05:27Z,DEV026,badge_scanner,A,2,R07,10.0.2.32,7e:14:29:d6:a1:85,v2.0,TCP,4444,auth_attempt,7796,11063,59,18.9,14.28,,,on,True,ok,False,0.9469,1,botnet_activity
2026-01-27T10:49:10Z,DEV042,env_sensor,A,3,R05,10.0.3.55,dc:a4:ee:e2:e2:6d,v3.2,MQTT,1883,telemetry,233,267,13,11.69,12.77,83.98,23.76,on,True,ok,False,0.1167,0,none
2026-01-27T14:46:52Z,DEV012,HVAC,A,1,R11,10.0.1.228,88:ae:39:96:de:50,v1.4,BACnet/IP,47808,status_update,5353,5124,170,42.68,41.0,,20.89,on,True,ok,False,0.0307,0,none
2026-01-31T10:09:48Z,DEV066,env_sensor,A,4,R05,10.0.4.187,90:33:63:97:74:b8,v3.0,MQTT,1883,telemetry,598,379,22,10.06,28.74,76.7,23.6,on,True,ok,False,0.1467,0,none
2026-01-31T22:48:37Z,DEV018,HVAC,A,1,R14,10.0.1.86,24:79:8e:f8:6d:43,v1.5,MQTT,1883,control_command,5383,9761,112,28.37,41.46,,22.08,on,True,ok,False,0.1366,0,none
2026-01-23T05:30:28Z,DEV099,smart_lighting,B,1,R03,10.1.1.195,73:cb:bb:2e:ca:07,v5.2,HTTP,80,status_update,260,835,32,16.98,31.12,93.89,,off,True,ok,False,0.234,0,none
2026-01-22T13:03:23Z,DEV060,env_sensor,B,4,R07,10.1.4.213,89:a5:7d:2c:8e:e6,v3.0,CoAP,5683,telemetry,495,586,21,13.0,11.05,68.6,21.95,on,True,ok,False,0.1843,0,none
2026-01-31T10:32:24Z,DEV065,env_sensor,B,3,R05,10.1.3.66,76:3d:62:a1:3d:5e,v3.0,CoAP,5683,telemetry,444,947,17,24.16,30.7,88.86,23.29,on,True,ok,False,0.288,0,none
2026-01-27T16:38:30Z,DEV049,env_sensor,A,2,R02,10.0.2.108,d0:a9:ee:d4:1f:69,v3.1,MQTT,1883,telemetry,526,1004,17,8.91,29.57,81.98,21.89,on,True,ok,False,0.1565,0,none
2026-02-02T17:05:32Z,DEV007,HVAC,A,5,R11,10.0.5.45,7d:53:ec:c2:8a:70,v1.5,BACnet/IP,47808,status_update,6270,7530,51,19.46,41.76,,20.54,on,False,suspect,False,0.0799,0,none
2026-01-31T11:10:23Z,DEV007,HVAC,A,5,R11,10.0.5.45,7d:53:ec:c2:8a:70,v1.5,MQTT,1883,control_command,6280,12595,76,26.78,59.25,,23.75,on,True,ok,False,0.3013,0,none
2026-01-22T10:50:40Z,DEV022,badge_scanner,B,5,R02,10.1.5.14,07:2f:79:55:d0:f8,v2.1,TCP,1812,auth_attempt,999,3527,56,11.81,15.84,,,on,True,ok,False,0.1567,0,none
2026-01-26T07:46:54Z,DEV093,smart_lighting,A,1,R08,10.0.1.243,b0:99:d9:80:e9:9a,v5.1,MQTT,1883,status_update,59,744,30,11.68,20.35,91.9,,on,True,ok,False,0.2512,0,none
2026-01-26T22:41:44Z,DEV045,env_sensor,B,2,R03,10.1.2.169,02:36:d9:70:5a:ed,v3.0,CoAP,5683,telemetry,230,516,3,9.65,38.38,69.76,21.15,on,True,ok,False,0.4611,0,none
2026-01-28T07:41:50Z,DEV075,CCTV,A,4,R12,10.0.4.79,ce:8b:fc:e0:29:14,v4.6,HTTP,80,video_stream,33441,154255,641,56.01,45.83,,,on,True,ok,False,0.1942,0,none
2026-02-01T11:58:33Z,DEV005,HVAC,B,5,R04,10.1.5.182,23:17:74:94:28:77,v1.3,Modbus/TCP,502,firmware_check,7122,9896,127,39.0,46.57,,22.46,on,True,ok,True,0.1855,0,none
2026-01-25T16:21:49Z,DEV078,CCTV,B,1,R14,10.1.1.43,a8:d2:fd:93:cd:12,v4.6,HTTP,80,video_stream,35432,66719,1012,75.79,68.85,,,on,False,suspect,False,0.9677,1,unauthorized_firmware
2026-02-03T06:34:53Z,DEV040,badge_scanner,B,1,R11,10.1.1.237,a9:a0:3f:99:9e:d1,v2.1,HTTPS,443,status_update,743,2355,41,21.27,38.92,,,on,True,ok,False,0.0961,0,none
2026-01-24T15:10:11Z,DEV034,badge_scanner,A,3,R13,10.0.3.145,d0:4f:79:53:5a:d3,v2.0,HTTPS,443,status_update,2262,1377,87,17.82,25.59,,,on,False,suspect,False,0.0663,0,none
2026-01-31T07:18:48Z,DEV058,env_sensor,B,5,R13,10.1.5.32,15:b1:db:bd:23:ae,v3.0,CoAP,5683,telemetry,213,932,20,13.88,28.39,89.27,24.83,on,True,ok,False,0.0968,0,none
2026-01-29T22:57:53Z,DEV013,HVAC,A,3,R09,10.0.3.197,5b:36:98:65:4e:bf,v1.3,Modbus/TCP,502,control_command,7757,11645,125,22.13,46.3,,20.89,on,True,ok,False,0.1006,0,none
2026-02-03T16:18:49Z,DEV060,env_sensor,B,4,R07,10.1.4.213,89:a5:7d:2c:8e:e6,v3.0,CoAP,5683,status_update,252,315,15,12.37,32.21,76.49,19.64,on,True,ok,False,0.3575,0,none
2026-01-24T10:55:16Z,DEV008,HVAC,B,1,R04,10.1.1.212,10:a1:cd:89:21:6c,v1.5,Modbus/TCP,502,firmware_check,3659,16686,72,39.88,59.18,,23.38,on,True,ok,False,0.2302,0,none
2026-02-04T12:33:54Z,DEV031,badge_scanner,A,1,R11,10.0.1.110,8d:16:01:aa:42:86,v2.0,HTTPS,443,status_update,1918,1822,90,22.39,25.67,,,on,True,ok,False,0.3848,0,none
2026-01-30T18:09:53Z,DEV047,env_sensor,B,4,R05,10.1.4.194,7e:8d:f8:7a:8c:e1,v3.0,CoAP,5683,telemetry,550,631,5,18.41,28.51,88.28,20.16,on,True,ok,False,0.0914,0,none
2026-01-27T03:59:01Z,DEV099,smart_lighting,B,1,R03,10.1.1.195,73:cb:bb:2e:ca:07,v5.2,HTTP,80,telemetry,916,537,21,22.53,19.02,95.54,,off,True,ok,False,0.3083,0,none
